B1,B2,B3,B4,A1,class
0.001,36546,23,1,46,0
0.001,23,36546,1,40,0
2.253,35039,22,12,1345,0
2.253,22,35039,14,2153,0
0.001,33741,23,1,46,0
0.001,23,33741,1,40,0
11.157,16742,22,5,277,0
11.157,22,16742,8,5345,0
81.468,11873,22,7,405,0
81.468,22,11873,12,6787,0
10.996,54174,22,4,225,0
10.996,22,54174,6,1419,0
9.971,49196,22,17,2267,0
9.971,22,49196,19,3185,0
0,5358,43217,1,40,0
0,43217,5358,1,46,0
10.36,53010,22,17,2267,0
10.36,22,53010,19,3185,0
0,35799,23,1,46,0
0,23,35799,1,40,0
0.979,22,23349,5,1285,0
0.979,23349,22,6,340,0
6.898,57634,22,9,1199,0
6.898,22,57634,7,2157,0
21.122,35657,22,25,3073,0
21.122,22,35657,28,3929,0
5.57,13962,22,9,554,0
5.57,22,13962,10,1663,0
9.391,22,52308,19,3185,0
9.391,52308,22,15,2163,0
9.987,22,59293,19,3185,0
9.987,59293,22,19,2371,0
19.17,22,36287,26,3745,0
19.17,36287,22,26,3022,0
6.128,58255,22,6,347,0
6.128,22,58255,7,1397,0
4.002,53980,22,12,1808,0
4.002,22,53980,13,2185,0
8.674,22,45986,19,3185,0
8.674,45986,22,17,2267,0
0,23,61033,1,40,0
0,61033,23,1,46,0
0,45723,33382,1,46,0
0,33382,45723,1,40,0
11.072,52923,22,19,2371,0
11.072,22,52923,19,3185,0
0.159,58362,22,7,424,0
0.159,22,58362,5,1285,0
9.574,22,58087,19,3185,0
9.574,58087,22,18,2319,0
9.79,22,42841,19,3185,0
9.79,42841,22,17,2267,0
18.277,15228,22,26,3020,0
18.277,22,15228,26,3745,0
0,52436,2222,1,46,0
0,2222,52436,1,40,0
0.368,52796,22,2,92,0
0.368,22,52796,1,44,0
10.258,22,54785,19,3185,0
10.258,54785,22,19,2387,0
9.805,22,53096,19,3185,0
9.805,53096,22,17,2267,0
9.759,22,44686,19,3185,0
9.759,44686,22,17,2267,0
20149.217,2224,80,15,690,0
20149.217,80,2224,80,3520,0
7.38,21766,22,7,381,0
7.38,22,21766,10,4505,0
11.454,10114,22,15,2163,0
11.454,22,10114,20,4213,0
9.746,22,39725,19,3185,0
9.746,39725,22,17,2267,0
9.834,22,39073,19,3185,0
9.834,39073,22,17,2267,0
2.525,42251,22,12,1586,0
2.525,22,42251,12,2545,0
19.489,58034,22,24,2900,0
19.489,22,58034,26,3745,0
62.046,57382,22,7,420,0
62.046,22,57382,12,4773,0
18.689,49868,22,24,2883,0
18.689,22,49868,26,3745,0
16.632,42393,22,18,2040,0
16.632,22,42393,23,3545,0
0,5061,5060,1,429,0
0,0,3.3,1,457,0
124.199,21124,22,9,493,0
124.199,22,21124,11,1673,0
30.997,34704,80,1,46,0
