A1,A2,B1,B2,B3,class
0,36546,23,1,46,0
0,23,36546,1,40,0
2,35039,22,12,1345,0
2,22,35039,14,2153,0
0,33741,23,1,46,0
0,23,33741,1,40,0
11,16742,22,5,277,0
11,22,16742,8,5345,0
81,11873,22,7,405,0
81,22,11873,12,6787,0
10,54174,22,4,225,0
10,22,54174,6,1419,0
9,49196,22,17,2267,0
9,22,49196,19,3185,0
0,5358,43217,1,40,0
0,43217,5358,1,46,0
10,53010,22,17,2267,0
10,22,53010,19,3185,0
0,35799,23,1,46,0
0,23,35799,1,40,0
0,22,23349,5,1285,0
0,23349,22,6,340,0
6,57634,22,9,1199,0
6,22,57634,7,2157,0
21,35657,22,25,3073,0
21,22,35657,28,3929,0
5,13962,22,9,554,0
5,22,13962,10,1663,0
9,22,52308,19,3185,0
9,52308,22,15,2163,0
9,22,59293,19,3185,0
9,59293,22,19,2371,0
19,22,36287,26,3745,0
19,36287,22,26,3022,0
6,58255,22,6,347,0
6,22,58255,7,1397,0
4,53980,22,12,1808,0
4,22,53980,13,2185,0
8,22,45986,19,3185,0
8,45986,22,17,2267,0
0,23,61033,1,40,0
0,61033,23,1,46,0
0,45723,33382,1,46,0
0,33382,45723,1,40,0
11,52923,22,19,2371,0
11,22,52923,19,3185,0
0,58362,22,7,424,0
0,22,58362,5,1285,0
9,22,58087,19,3185,0
9,58087,22,18,2319,0
9,22,42841,19,3185,0
9,42841,22,17,2267,0
18,15228,22,26,3020,0
18,22,15228,26,3745,0
0,52436,2222,1,46,0
0,2222,52436,1,40,0
0,52796,22,2,92,0
0,22,52796,1,44,0
10,22,54785,19,3185,0
10,54785,22,19,2387,0
9,22,53096,19,3185,0
9,53096,22,17,2267,0
9,22,44686,19,3185,0
9,44686,22,17,2267,0
20149,2224,80,15,690,0
20149,80,2224,80,3520,0
7,21766,22,7,381,0
7,22,21766,10,4505,0
11,10114,22,15,2163,0
11,22,10114,20,4213,0
9,22,39725,19,3185,0
9,39725,22,17,2267,0
9,22,39073,19,3185,0
9,39073,22,17,2267,0
2,42251,22,12,1586,0
2,22,42251,12,2545,0
19,58034,22,24,2900,0
19,22,58034,26,3745,0
62,57382,22,7,420,0
62,22,57382,12,4773,0
18,49868,22,24,2883,0
18,22,49868,26,3745,0
16,42393,22,18,2040,0
16,22,42393,23,3545,0
0,5061,5060,1,429,0
0,0,3,1,457,0
124,21124,22,9,493,0
124,22,21124,11,1673,0
30,34704,80,1,46,0
30,80,34704,6,264,0
9,22,54787,19,3185,0
9,54787,22,15,2163,0
9,39611,22,12,2656,0
9,22,39611,16,4373,0
11,39933,22,6,329,0
11,22,39933,11,5545,0
10,35712,22,17,2267,0
10,22,35712,19,3185,0
0,5063,5060,1,434,0
0,0,3,1,462,0
20,22,36061,31,4121,0
20,36061,22,30,3531,0
9,22,60984,19,3185,0
9,60984,22,15,2163,0
0,5083,5060,1,437,0
0,0,3,1,465,0
10,35487,22,18,2327,0
10,22,35487,21,3305,0
9,22,47635,19,3185,0
9,47635,22,15,2163,0
16,7244,22,24,2932,0
16,22,7244,26,3745,0
30,59266,80,1,46,0
30,80,59266,6,264,0
18,29966,22,24,2964,0
