B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,class,A1
16.54957143,26,16961,19730,16961,19730,7,5,1684,2052,0,1
6.838111111,6,24554,24786,24554,24786,11,8,1711,1268,0,2
18.90283333,28,19589,22665,19589,22665,14,7,2286,1363,0,3
10.834,6,15346,19750,15346,19750,15,8,2465,1335,0,3
15.50372727,33,17890,20679,17890,20679,8,8,1305,1708,0,1
34.207,47,19623,22285,19623,22285,13,8,2093,1833,0,2
11.98061905,25,19661,23217,19654,23221,11,8,1899,1771,0,5
14.46826667,17,16426,22149,16425,22149,10,9,1711,1928,0,4
17.94877273,29,20098,21994,20098,21994,11,8,1798,1680,0,6
7.121454545,7,23297,24975,20443,24660,10,9,1368,1451,0,3
28.9524,41,19902,23557,19877,23572,11,7,2189,1959,0,5
15.42421053,26,21728,23190,21728,23190,15,8,2302,1264,0,4
8.5941875,11,18589,22213,17475,22127,9,8,1558,1712,0,3
20.43920755,48,33176,25397,33176,25397,5,1,520,173,1,3
7.608076923,8,20997,23466,20979,23478,10,10,1559,1559,0,2
15.11885714,24,20889,23278,20889,23278,14,7,2236,1359,0,1
20.7295,36,15301,19621,15301,19621,12,9,1642,1431,0,3
14.4508125,30,20278,23880,20278,23880,7,6,1589,1898,0,3
5.412083333,5,16133,21736,15489,21956,9,7,1491,1316,0,1
14.28821429,29,18404,21623,18234,21710,11,9,1935,1999,0,2
14.16015385,22,21770,23497,21028,23503,14,9,2242,1667,0,3
40.33688235,48,22674,25002,22674,25002,13,7,2516,2243,0,3
10.90129412,6,19350,22704,19350,22704,17,7,2544,1149,0,3
20.162,34,19436,23493,19436,23493,9,9,1567,2090,0,6
15.08928571,25,22138,25286,22138,25286,13,7,2135,1397,0,3
21.759,43,13750,16829,13747,16830,7,7,1375,1857,0,3
12.11285714,11,21040,22600,21040,22600,16,6,2662,1478,0,6
19.5938,32,16992,21995,14841,21429,8,6,1650,1850,0,3
9.141625,8,15264,22236,15264,22235,11,9,1781,1537,0,3
15.45176923,18,19691,23764,19691,23764,14,8,2422,1934,0,3
14.5263,8,22161,24893,22161,24893,17,8,2508,1328,0,3
