B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,class,A1,A2
16.54957143,26.91177209,16961.92857,19730.74702,16961.92857,19730.74702,7.714285714,5.945329156,1684.285714,2052.128805,0,1,1
6.838111111,6.190768395,24554.41667,24786.83781,24554.41667,24786.83781,11.88888889,8.399000528,1711.805556,1268.002953,0,1,2
18.90283333,28.82848724,19589.80556,22665.20612,19589.86944,22665.1447,14.80555556,7.915594469,2286.527778,1363.790439,0,1,3
10.834,6.092673352,15346.78571,19750.06319,15346.09286,19750.36319,15.14285714,8.500900312,2465.071429,1335.908223,0,1,3
15.50372727,33.80722178,17890.27273,20679.87767,17890.27273,20679.87767,8.045454545,8.287324783,1305.454545,1708.46371,0,1,1
34.207,47.34603474,19623.53571,22285.86053,19623.53571,22285.86053,13.42857143,8.516490606,2093.821429,1833.55122,0,1,2
11.98061905,25.46018716,19661.61905,23217.60115,19654.95952,23221.68602,11.23809524,8.431261341,1899.52381,1771.687617,0,1,5
14.46826667,17.96806665,16426.03333,22149.16799,16425.61,22149.2988,10.33333333,9.58586923,1711.933333,1928.438521,0,1,4
17.94877273,29.01148561,20098,21994.58508,20098,21994.58508,11.40909091,8.608447706,1798.568182,1680.944748,0,1,6
7.121454545,7.566977272,23297.39394,24975.24417,20443.88788,24660.14968,10.15151515,9.604674405,1368.424242,1451.473317,0,1,3
28.9524,41.3120621,19902.125,23557.30955,19877.3075,23572.38366,11.275,7.687611788,2189.275,1959.36158,0,1,5
15.42421053,26.02125101,21728.94737,23190.38842,21728.94737,23190.38842,15.89473684,8.058305535,2302.842105,1264.636738,0,1,4
8.5941875,11.09688356,18589.3125,22213.0726,17475.10313,22127.70575,9.78125,8.313146122,1558.8125,1712.022149,0,1,3
20.43920755,48.33543264,33176.5283,25397.38377,33176.5283,25397.38377,5.962264151,1.393546638,520.5566038,173.4126435,1,1,3
7.608076923,8.475399055,20997.61538,23466.79311,20979.94615,23478.63744,10.57692308,10.71366158,1559.230769,1559.89204,0,1,2
15.11885714,24.92581884,20889.7619,23278.16415,20889.7619,23278.16415,14.21428571,7.851404831,2236.285714,1359.762589,0,1,1
20.7295,36.62666491,15301.91667,19621.8053,15301.84583,19621.8068,12.25,9.640409742,1642.875,1431.161105,0,1,3
14.4508125,30.48012472,20278.125,23880.71732,20278.375,23880.50508,7.90625,6.806978841,1589.96875,1898.439762,0,1,3
5.412083333,5.694148933,16133.08333,21736.8504,15489.2625,21956.66283,9.75,7.907011656,1491.666667,1316.407158,0,1,1
14.28821429,29.933754,18404,21623.86763,18234.91429,21710.4969,11.25,9.409816303,1935.892857,1999.049244,0,1,2
14.16015385,22.39113541,21770.92308,23497.34618,21028.275,23503.26475,14.15384615,9.00509389,2242.557692,1667.878978,0,1,3
40.33688235,48.04721923,22674.20588,25002.53567,22674.20588,25002.53567,13.76470588,7.985497235,2516.382353,2243.175703,0,1,3
10.90129412,6.362800824,19350.67647,22704.24963,19350.67647,22704.24963,17.58823529,7.970968083,2544.735294,1149.303429,0,1,3
20.162,34.97790369,19436.55,23493.46448,19436.95,23493.13362,9.35,9.392949484,1567.65,2090.513939,0,1,6
15.08928571,25.64226402,22138.35714,25286.7113,22138.35714,25286.7113,13.78571429,7.750685728,2135.595238,1397.327007,0,1,3
21.759,43.19500679,13750.80769,16829.1054,13747.24231,16830.89746,7.807692308,7.519304544,1375.153846,1857.063391,0,1,3
12.11285714,11.43264867,21040.92857,22600.65896,21040.92857,22600.65896,16,6.458659746,2662.785714,1478.558428,0,1,6
19.5938,32.57983865,16992.2,21995.82834,14841.515,21429.61817,8.7,6.892749814,1650.7,1850.522551,0,1,3
9.141625,8.784117115,15264,22236.03729,15264.25,22235.86572,11.9375,9.977905279,1781.34375,1537.605436,0,1,3
15.45176923,18.11586843,19691.03846,23764.50391,19691.03846,23764.50391,14.53846154,8.134592653,2422.269231,1934.289266,0,1,3
14.5263,8.453139051,22161,24893.69142,22161,24893.69142,17.35,8.144169694,2508.6,1328.8257,0,1,3
8.153777778,7.075560367,20566.83333,23127.60803,20566.83333,23127.60803,12.63888889,9.241070097,1857.972222,1441.350745,0,1,3
24.79835294,33.03248381,17305.44118,20228.27504,16516.09706,20232.26279,13.70588235,7.744179643,2538.911765,2147.063951,0,1,6
8.988666667,6.236130041,16003.95833,20881.77544,16003.95833,20881.77544,13.16666667,7.9982637,2119.208333,1384.467256,0,1,3
13.43014286,27.58464056,18286.16667,21889.69723,17348.67381,21747.58862,11.76190476,9.453670297,1717.119048,1525.715214,0,1,6
30.714125,47.66003583,16765.4375,20070.39769,17405.07188,20885.27687,10.625,7.598313958,1836.21875,1789.985313,0,1,3
10.48594118,13.28275065,16624.20588,19040.78991,16624.20588,19040.78991,11.20588235,8.202508267,1847.029412,1707.22855,0,1,3
22.22872222,35.9196939,18201.97222,21864.01275,18201.97222,21864.01275,14.13888889,8.85736598,1990.444444,1383.299707,0,1,3
31.47673684,46.80769655,17729.13158,22424.0117,17729.13158,22424.0117,11.52631579,8.813078923,2107.842105,2146.933548,0,1,3
13.5418125,28.47507701,21313.8125,23663.25712,21313.8125,23663.25712,10.4375,8.310150044,1481.3125,1321.105679,0,1,3
8.1299375,5.947254645,23006.59375,23412.54966,23006.59375,23412.54966,11.78125,8.309386165,1849.3125,1447.911631,0,1,2
18.77128571,26.74322817,20908.54762,21918.99316,20908.54762,21918.99316,13.73809524,8.693345906,2253.428571,1776.675563,0,1,1
9.505714286,7.615653892,14893.42857,19264.62905,14893.15357,19264.66315,13.64285714,9.947053712,1887.714286,1446.597877,0,1,1
17.18863636,12.78347709,23577.72727,24904.40807,23577.72727,24904.40807,18.90909091,5.907692142,2930.363636,1132.819794,0,1,2
12.99857895,26.41503353,20014.81579,23609.78027,20014.81579,23609.78027,11.55263158,8.656294845,1690.894737,1336.118865,0,1,3
8.929473684,11.54125864,14899.57895,19357.36231,13860.79737,18963.75797,10,9.011688317,1662.447368,1984.21636,0,1,3
27.40591667,38.07609416,19561.41667,22927.7328,19561.41667,22927.7328,11.41666667,6.842980994,2237.083333,1878.479037,0,1,3
39.36633333,51.26411535,21369.95833,22207.49161,21369.95833,22207.49161,12.91666667,5.423073135,2690.458333,2273.747164,0,1,3
13.7899375,28.6330388,18301.125,21136.13053,18300.60313,21136.43249,11.53125,8.678221214,1739.3125,1336.217526,0,1,3
21.355375,34.67476458,19663.40625,22449.58693,18655.54063,22500.26643,10.65625,9.891945508,1732.5,1970.824589,0,1,3
15.75594444,26.28233356,18147.38889,21537.02881,18147.38889,21537.02881,14.72222222,8.278523456,2347.333333,1723.898827,0,1,3
9.809666667,7.623158389,20459,23375.92906,20459,23375.92906,14.83333333,8.610394235,2193.5,1292.52989,0,1,3
8.553363636,6.982510597,24471.13636,25579.09839,24471.13636,25579.09839,14.09090909,8.872373316,2040.818182,1332.187116,0,1,3
11.079,7.295662204,17835.04167,22506.34572,17835.375,22506.08163,16.5,7.916228058,2417.583333,1189.346596,0,1,6
15.58753333,29.31422144,19174.7,26072.03025,19175.23333,26071.63808,12.43333333,8.436758198,2097.4,1935.166222,0,1,1
26.97784615,41.84639346,15501.88462,20482.74162,15501.88462,20482.74162,12.23076923,8.806936481,2033.884615,1904.533969,0,1,2
21.26517391,34.16355645,18658.34783,22388.16375,17741.81087,22263.1743,12.06521739,8.99855586,1775.108696,1572.012753,0,1,7
16.39464286,31.65937702,22941.78571,22880.18323,22941.78571,22880.18323,10.10714286,9.929534897,1434.571429,1506.14158,0,1,8
14.28638889,10.62978709,22220.52778,23535.19532,22220.52778,23535.19532,13.58333333,8.674275506,2269.027778,1836.428486,0,1,3
8.848555556,6.617944337,19983.72222,23362.06048,19983.72222,23362.06048,12.66666667,8.906926144,1970.277778,1665.487376,0,1,3
8.29145,5.661629823,21046.325,23820.77047,21046.325,23820.77047,14.25,7.395099729,2140.6,1223.361512,0,1,3
18.7146,28.85045835,22158.53333,23625.86139,20640.74333,23528.81476,15.4,9.991996797,2334.033333,1802.337695,0,1,3
22.12923529,36.96672183,22884.85294,24035.81485,22884.85294,24035.81485,12.88235294,9.266526432,2137.617647,1790.465911,0,1,3
15.43782143,24.50960347,21802.89286,23968.04374,21802.89286,23968.04374,12.78571429,8.145363023,2107.607143,1742.834275,0,1,3
16.86975,34.057434,19574.375,21736.95051,19574.375,21736.95051,7.083333333,5.957604851,969.25,1103.923656,0,1,1
10.51265517,10.29252095,20135.7931,22519.30264,17502.63103,22219.4763,11.5862069,10.24027627,1524.724138,1480.646897,0,1,8
11.5101,22.43092032,16514.525,20378.49369,15615.5325,20290.2875,10.4,10.98362417,1471.4,1676.23845,0,1,6
29.84613333,46.49296917,19877.73333,23631.45872,19877.73333,23631.45872,7.733333333,6.071426704,1509.233333,1933.277505,0,1,4
18.749,33.14150283,20597.68182,23762.61012,20596.78636,23763.16318,13.04545455,8.551859302,2025.136364,1355.95375,0,1,3
18.93469231,30.58187184,20455.73077,23615.82202,20455.73077,23615.82202,14.80769231,9.607766213,2182.461538,1704.625545,0,1,3
10.87576471,12.30059305,20469.67647,23522.56665,20469.67647,23522.56665,13.29411765,7.201018767,1986,1217.610147,0,1,3
14.71,21.75688185,14348.54545,19633.76924,14348.54545,19633.76924,12.45454545,9.1389639,1996.272727,1919.922777,0,1,3
26.6744,38.33941888,19400.53333,21888.78008,19400.53333,21888.78008,14.26666667,6.860191121,2265.033333,1729.256015,0,1,3
11.80111111,12.73930329,16585.19444,22960.4851,16586.14722,22959.80043,13.02777778,10.1310472,1923.972222,1586.201096,0,1,3
19.05114286,30.976593,19486.25,23464.62325,19486.25,23464.62325,10.60714286,8.134315696,1495.392857,1333.332435,0,1,9
7.944692308,7.328223863,18515.11538,21201.68379,18515.11538,21201.68379,11.88461538,9.943404939,1834.423077,1724.640323,0,1,3
