B1,B2,A1,B3,B4,B5,B6,B7,B8,A2,class
17 ,27 ,1 ,16962 ,19731 ,8 ,6 ,1684 ,2052 ,3 ,0 
7 ,6 ,1 ,24554 ,24787 ,12 ,8 ,1712 ,1268 ,3 ,0 
19 ,29 ,1 ,19590 ,22665 ,15 ,8 ,2287 ,1364 ,3 ,0 
11 ,6 ,1 ,15347 ,19750 ,15 ,9 ,2465 ,1336 ,3 ,0 
16 ,34 ,1 ,17890 ,20680 ,8 ,8 ,1305 ,1708 ,3 ,0 
34 ,47 ,1 ,19624 ,22286 ,13 ,9 ,2094 ,1834 ,3 ,0 
12 ,25 ,1 ,19662 ,23218 ,11 ,8 ,1900 ,1772 ,3 ,0 
14 ,18 ,1 ,16426 ,22149 ,10 ,10 ,1712 ,1928 ,3 ,0 
18 ,29 ,1 ,20098 ,21995 ,11 ,9 ,1799 ,1681 ,3 ,0 
7 ,8 ,1 ,23297 ,24975 ,10 ,10 ,1368 ,1451 ,3 ,0 
29 ,41 ,1 ,19902 ,23557 ,11 ,8 ,2189 ,1959 ,3 ,0 
15 ,26 ,1 ,21729 ,23190 ,16 ,8 ,2303 ,1265 ,3 ,0 
9 ,11 ,1 ,18589 ,22213 ,10 ,8 ,1559 ,1712 ,3 ,0 
20 ,48 ,1 ,33177 ,25397 ,6 ,1 ,521 ,173 ,3 ,1 
8 ,8 ,1 ,20998 ,23467 ,11 ,11 ,1559 ,1560 ,3 ,0 
15 ,25 ,1 ,20890 ,23278 ,14 ,8 ,2236 ,1360 ,3 ,0 
21 ,37 ,1 ,15302 ,19622 ,12 ,10 ,1643 ,1431 ,3 ,0 
14 ,30 ,1 ,20278 ,23881 ,8 ,7 ,1590 ,1898 ,3 ,0 
5 ,6 ,1 ,16133 ,21737 ,10 ,8 ,1492 ,1316 ,3 ,0 
14 ,30 ,1 ,18404 ,21624 ,11 ,9 ,1936 ,1999 ,3 ,0 
14 ,22 ,1 ,21771 ,23497 ,14 ,9 ,2243 ,1668 ,3 ,0 
40 ,48 ,1 ,22674 ,25003 ,14 ,8 ,2516 ,2243 ,3 ,0 
11 ,6 ,1 ,19351 ,22704 ,18 ,8 ,2545 ,1149 ,3 ,0 
20 ,35 ,1 ,19437 ,23493 ,9 ,9 ,1568 ,2091 ,3 ,0 
15 ,26 ,1 ,22138 ,25287 ,14 ,8 ,2136 ,1397 ,3 ,0 
22 ,43 ,1 ,13751 ,16829 ,8 ,8 ,1375 ,1857 ,3 ,0 
12 ,11 ,1 ,21041 ,22601 ,16 ,6 ,2663 ,1479 ,3 ,0 
