B1,B2,B3,A1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,A2,class
17 ,27 ,724 ,1 ,16962 ,19731 ,389302378 ,16962 ,19731 ,389302378 ,8 ,6 ,35 ,1684 ,2052 ,4211233 ,3 ,0 
7 ,6 ,38 ,1 ,24554 ,24787 ,614387328 ,24554 ,24787 ,614387328 ,12 ,8 ,71 ,1712 ,1268 ,1607831 ,3 ,0 
19 ,29 ,831 ,1 ,19590 ,22665 ,513711568 ,19590 ,22665 ,513708784 ,15 ,8 ,63 ,2287 ,1364 ,1859924 ,3 ,0 
11 ,6 ,37 ,1 ,15347 ,19750 ,390064996 ,15346 ,19750 ,390076846 ,15 ,9 ,72 ,2465 ,1336 ,1784651 ,3 ,0 
16 ,34 ,1143 ,1 ,17890 ,20680 ,427657340 ,17890 ,20680 ,427657340 ,8 ,8 ,69 ,1305 ,1708 ,2918848 ,3 ,0 
34 ,47 ,2242 ,1 ,19624 ,22286 ,496659580 ,19624 ,22286 ,496659580 ,13 ,9 ,73 ,2094 ,1834 ,3361910 ,3 ,0 
12 ,25 ,648 ,1 ,19662 ,23218 ,539057003 ,19655 ,23222 ,539246701 ,11 ,8 ,71 ,1900 ,1772 ,3138877 ,3 ,0 
14 ,18 ,323 ,1 ,16426 ,22149 ,490585643 ,16426 ,22149 ,490591437 ,10 ,10 ,92 ,1712 ,1928 ,3718875 ,3 ,0 
18 ,29 ,842 ,1 ,20098 ,21995 ,483761773 ,20098 ,21995 ,483761773 ,11 ,9 ,74 ,1799 ,1681 ,2825575 ,3 ,0 
7 ,8 ,57 ,1 ,23297 ,24975 ,623762821 ,20444 ,24660 ,608122982 ,10 ,10 ,92 ,1368 ,1451 ,2106775 ,3 ,0 
29 ,41 ,1707 ,1 ,19902 ,23557 ,554946833 ,19877 ,23572 ,555657271 ,11 ,8 ,59 ,2189 ,1959 ,3839098 ,3 ,0 
15 ,26 ,677 ,1 ,21729 ,23190 ,537794115 ,21729 ,23190 ,537794115 ,16 ,8 ,65 ,2303 ,1265 ,1599306 ,3 ,0 
9 ,11 ,123 ,1 ,18589 ,22213 ,493420594 ,17475 ,22128 ,489635362 ,10 ,8 ,69 ,1559 ,1712 ,2931020 ,3 ,0 
20 ,48 ,2336 ,1 ,33177 ,25397 ,645027102 ,33177 ,25397 ,645027102 ,6 ,1 ,2 ,521 ,173 ,30072 ,3 ,1 
8 ,8 ,72 ,1 ,20998 ,23467 ,550690379 ,20980 ,23479 ,551246416 ,11 ,11 ,115 ,1559 ,1560 ,2433263 ,3 ,0 
15 ,25 ,621 ,1 ,20890 ,23278 ,541872926 ,20890 ,23278 ,541872926 ,14 ,8 ,62 ,2236 ,1360 ,1848954 ,3 ,0 
21 ,37 ,1342 ,1 ,15302 ,19622 ,385015243 ,15302 ,19622 ,385015302 ,12 ,10 ,93 ,1643 ,1431 ,2048222 ,3 ,0 
14 ,30 ,929 ,1 ,20278 ,23881 ,570288660 ,20278 ,23881 ,570278523 ,8 ,7 ,46 ,1590 ,1898 ,3604074 ,3 ,0 
5 ,6 ,32 ,1 ,16133 ,21737 ,472490665 ,15489 ,21957 ,482095043 ,10 ,8 ,63 ,1492 ,1316 ,1732928 ,3 ,0 
14 ,30 ,896 ,1 ,18404 ,21624 ,467591651 ,18235 ,21710 ,471345676 ,11 ,9 ,89 ,1936 ,1999 ,3996198 ,3 ,0 
14 ,22 ,501 ,1 ,21771 ,23497 ,552125278 ,21028 ,23503 ,552403454 ,14 ,9 ,81 ,2243 ,1668 ,2781820 ,3 ,0 
40 ,48 ,2309 ,1 ,22674 ,25003 ,625126790 ,22674 ,25003 ,625126790 ,14 ,8 ,64 ,2516 ,2243 ,5031837 ,3 ,0 
11 ,6 ,40 ,1 ,19351 ,22704 ,515482951 ,19351 ,22704 ,515482951 ,18 ,8 ,64 ,2545 ,1149 ,1320898 ,3 ,0 
20 ,35 ,1223 ,1 ,19437 ,23493 ,551942873 ,19437 ,23493 ,551927327 ,9 ,9 ,88 ,1568 ,2091 ,4370249 ,3 ,0 
15 ,26 ,658 ,1 ,22138 ,25287 ,639417769 ,22138 ,25287 ,639417769 ,14 ,8 ,60 ,2136 ,1397 ,1952523 ,3 ,0 
22 ,43 ,1866 ,1 ,13751 ,16829 ,283218789 ,13747 ,16831 ,283279110 ,8 ,8 ,57 ,1375 ,1857 ,3448684 ,3 ,0 
12 ,11 ,131 ,1 ,21041 ,22601 ,510789786 ,21041 ,22601 ,510789786 ,16 ,6 ,42 ,2663 ,1479 ,2186135 ,3 ,0 
20 ,33 ,1061 ,1 ,16992 ,21996 ,483816465 ,14842 ,21430 ,459228535 ,9 ,7 ,48 ,1651 ,1851 ,3424434 ,3 ,0 
9 ,9 ,77 ,1 ,15264 ,22236 ,494441354 ,15264 ,22236 ,494433724 ,12 ,10 ,100 ,1781 ,1538 ,2364230 ,3 ,0 
15 ,18 ,328 ,1 ,19691 ,23765 ,564751646 ,19691 ,23765 ,564751646 ,15 ,8 ,66 ,2422 ,1934 ,3741475 ,3 ,0 
15 ,8 ,71 ,1 ,22161 ,24894 ,619695873 ,22161 ,24894 ,619695873 ,17 ,8 ,66 ,2509 ,1329 ,1765778 ,3 ,0 
8 ,7 ,50 ,1 ,20567 ,23128 ,534886253 ,20567 ,23128 ,534886253 ,13 ,9 ,85 ,1858 ,1441 ,2077492 ,3 ,0 
25 ,33 ,1091 ,1 ,17305 ,20228 ,409183111 ,16516 ,20232 ,409344458 ,14 ,8 ,60 ,2539 ,2147 ,4609884 ,3 ,0 
9 ,6 ,39 ,1 ,16004 ,20882 ,436048546 ,16004 ,20882 ,436048546 ,13 ,8 ,64 ,2119 ,1384 ,1916750 ,3 ,0 
13 ,28 ,761 ,1 ,18286 ,21890 ,479158845 ,17349 ,21748 ,472957611 ,12 ,9 ,89 ,1717 ,1526 ,2327807 ,3 ,0 
31 ,48 ,2271 ,1 ,16765 ,20070 ,402820864 ,17405 ,20885 ,436194790 ,11 ,8 ,58 ,1836 ,1790 ,3204047 ,3 ,0 
10 ,13 ,176 ,1 ,16624 ,19041 ,362551680 ,16624 ,19041 ,362551680 ,11 ,8 ,67 ,1847 ,1707 ,2914629 ,3 ,0 
22 ,36 ,1290 ,1 ,18202 ,21864 ,478035054 ,18202 ,21864 ,478035054 ,14 ,9 ,78 ,1990 ,1383 ,1913518 ,3 ,0 
31 ,47 ,2191 ,1 ,17729 ,22424 ,502836301 ,17729 ,22424 ,502836301 ,12 ,9 ,78 ,2108 ,2147 ,4609324 ,3 ,0 
14 ,28 ,811 ,1 ,21314 ,23663 ,559949738 ,21314 ,23663 ,559949738 ,10 ,8 ,69 ,1481 ,1321 ,1745320 ,3 ,0 
8 ,6 ,35 ,1 ,23007 ,23413 ,548147482 ,23007 ,23413 ,548147482 ,12 ,8 ,69 ,1849 ,1448 ,2096448 ,3 ,0 
19 ,27 ,715 ,1 ,20909 ,21919 ,480442261 ,20909 ,21919 ,480442261 ,14 ,9 ,76 ,2253 ,1777 ,3156576 ,3 ,0 
10 ,8 ,58 ,1 ,14893 ,19265 ,371125932 ,14893 ,19265 ,371127246 ,14 ,10 ,99 ,1888 ,1447 ,2092645 ,3 ,0 
17 ,13 ,163 ,1 ,23578 ,24904 ,620229541 ,23578 ,24904 ,620229541 ,19 ,6 ,35 ,2930 ,1133 ,1283281 ,3 ,0 
13 ,26 ,698 ,1 ,20015 ,23610 ,557421724 ,20015 ,23610 ,557421724 ,12 ,9 ,75 ,1691 ,1336 ,1785214 ,3 ,0 
9 ,12 ,133 ,1 ,14900 ,19357 ,374707476 ,13861 ,18964 ,359624116 ,10 ,9 ,81 ,1662 ,1984 ,3937115 ,3 ,0 
27 ,38 ,1450 ,1 ,19561 ,22928 ,525680931 ,19561 ,22928 ,525680931 ,11 ,7 ,47 ,2237 ,1878 ,3528683 ,3 ,0 
39 ,51 ,2628 ,1 ,21370 ,22207 ,493172684 ,21370 ,22207 ,493172684 ,13 ,5 ,29 ,2690 ,2274 ,5169926 ,3 ,0 
14 ,29 ,820 ,1 ,18301 ,21136 ,446736014 ,18301 ,21136 ,446748778 ,12 ,9 ,75 ,1739 ,1336 ,1785477 ,3 ,0 
21 ,35 ,1202 ,1 ,19663 ,22450 ,503983953 ,18656 ,22500 ,506261990 ,11 ,10 ,98 ,1733 ,1971 ,3884150 ,3 ,0 
16 ,26 ,691 ,1 ,18147 ,21537 ,463843610 ,18147 ,21537 ,463843610 ,15 ,8 ,69 ,2347 ,1724 ,2971827 ,3 ,0 
