B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,A1,A2,class
16.54957143,26.91177209,724.2434771,16961.92857,19730.74702,389302377.8,16961.92857,19730.74702,389302377.8,7.714285714,5.945329156,35.34693878,1684.285714,2052.128805,4211232.633,1,3,0
6.838111111,6.190768395,38.32561332,24554.41667,24786.83781,614387328.4,24554.41667,24786.83781,614387328.4,11.88888889,8.399000528,70.54320988,1711.805556,1268.002953,1607831.49,1,3,0
18.90283333,28.82848724,831.0816764,19589.80556,22665.20612,513711568.3,19589.86944,22665.1447,513708784.3,14.80555556,7.915594469,62.6566358,2286.527778,1363.790439,1859924.36,1,3,0
10.834,6.092673352,37.12066857,15346.78571,19750.06319,390064996.1,15346.09286,19750.36319,390076846.3,15.14285714,8.500900312,72.26530612,2465.071429,1335.908223,1784650.781,1,3,0
15.50372727,33.80722178,1142.928245,17890.27273,20679.87767,427657340.3,17890.27273,20679.87767,427657340.3,8.045454545,8.287324783,68.67975207,1305.454545,1708.46371,2918848.248,1,3,0
34.207,47.34603474,2241.647006,19623.53571,22285.86053,496659579.7,19623.53571,22285.86053,496659579.7,13.42857143,8.516490606,72.53061224,2093.821429,1833.55122,3361910.075,1,3,0
11.98061905,25.46018716,648.2211301,19661.61905,23217.60115,539057003.3,19654.95952,23221.68602,539246701.4,11.23809524,8.431261341,71.0861678,1899.52381,1771.687617,3138877.011,1,3,0
14.46826667,17.96806665,322.851419,16426.03333,22149.16799,490585642.8,16425.61,22149.2988,490591437.3,10.33333333,9.58586923,91.88888889,1711.933333,1928.438521,3718875.129,1,3,0
17.94877273,29.01148561,841.6662973,20098,21994.58508,483761772.7,20098,21994.58508,483761772.7,11.40909091,8.608447706,74.1053719,1798.568182,1680.944748,2825575.245,1,3,0
7.121454545,7.566977272,57.25914504,23297.39394,24975.24417,623762821.2,20443.88788,24660.14968,608122982.2,10.15151515,9.604674405,92.24977043,1368.424242,1451.473317,2106774.79,1,3,0
28.9524,41.3120621,1706.686475,19902.125,23557.30955,554946833.3,19877.3075,23572.38366,555657271.2,11.275,7.687611788,59.099375,2189.275,1959.36158,3839097.799,1,3,0
15.42421053,26.02125101,677.1055044,21728.94737,23190.38842,537794115.3,21728.94737,23190.38842,537794115.3,15.89473684,8.058305535,64.93628809,2302.842105,1264.636738,1599306.08,1,3,0
8.5941875,11.09688356,123.1408248,18589.3125,22213.0726,493420594.2,17475.10313,22127.70575,489635361.9,9.78125,8.313146122,69.10839844,1558.8125,1712.022149,2931019.84,1,3,0
20.43920755,48.33543264,2336.314048,33176.5283,25397.38377,645027102.2,33176.5283,25397.38377,645027102.2,5.962264151,1.393546638,1.941972232,520.5566038,173.4126435,30071.94491,1,3,1
7.608076923,8.475399055,71.83238915,20997.61538,23466.79311,550690378.8,20979.94615,23478.63744,551246416.2,10.57692308,10.71366158,114.7825444,1559.230769,1559.89204,2433263.178,1,3,0
15.11885714,24.92581884,621.2964446,20889.7619,23278.16415,541872926.1,20889.7619,23278.16415,541872926.1,14.21428571,7.851404831,61.64455782,2236.285714,1359.762589,1848954.299,1,3,0
20.7295,36.62666491,1341.512583,15301.91667,19621.8053,385015243.3,15301.84583,19621.8068,385015302.2,12.25,9.640409742,92.9375,1642.875,1431.161105,2048222.109,1,3,0
14.4508125,30.48012472,929.0380032,20278.125,23880.71732,570288659.9,20278.375,23880.50508,570278522.7,7.90625,6.806978841,46.33496094,1589.96875,1898.439762,3604073.53,1,3,0
5.412083333,5.694148933,32.42333208,16133.08333,21736.8504,472490665.2,15489.2625,21956.66283,482095042.6,9.75,7.907011656,62.52083333,1491.666667,1316.407158,1732927.806,1,3,0
14.28821429,29.933754,896.0296287,18404,21623.86763,467591651.3,18234.91429,21710.4969,471345675.7,11.25,9.409816303,88.54464286,1935.892857,1999.049244,3996197.881,1,3,0
