B1,B2,B3,A1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,A2,class
16.55 ,26.91 ,724.24 ,1,16961.93 ,19730.75 ,389302377.80 ,16961.93 ,19730.75 ,389302377.80 ,7.71 ,5.95 ,35.35 ,1684.29 ,2052.13 ,4211232.63 ,3,0
6.84 ,6.19 ,38.33 ,1,24554.42 ,24786.84 ,614387328.40 ,24554.42 ,24786.84 ,614387328.40 ,11.89 ,8.40 ,70.54 ,1711.81 ,1268.00 ,1607831.49 ,3,0
18.90 ,28.83 ,831.08 ,1,19589.81 ,22665.21 ,513711568.30 ,19589.87 ,22665.15 ,513708784.30 ,14.81 ,7.92 ,62.66 ,2286.53 ,1363.79 ,1859924.36 ,3,0
10.83 ,6.09 ,37.12 ,1,15346.79 ,19750.06 ,390064996.10 ,15346.09 ,19750.36 ,390076846.30 ,15.14 ,8.50 ,72.27 ,2465.07 ,1335.91 ,1784650.78 ,3,0
15.50 ,33.81 ,1142.93 ,1,17890.27 ,20679.88 ,427657340.30 ,17890.27 ,20679.88 ,427657340.30 ,8.05 ,8.29 ,68.68 ,1305.46 ,1708.46 ,2918848.25 ,3,0
34.21 ,47.35 ,2241.65 ,1,19623.54 ,22285.86 ,496659579.70 ,19623.54 ,22285.86 ,496659579.70 ,13.43 ,8.52 ,72.53 ,2093.82 ,1833.55 ,3361910.08 ,3,0
11.98 ,25.46 ,648.22 ,1,19661.62 ,23217.60 ,539057003.30 ,19654.96 ,23221.69 ,539246701.40 ,11.24 ,8.43 ,71.09 ,1899.52 ,1771.69 ,3138877.01 ,3,0
14.47 ,17.97 ,322.85 ,1,16426.03 ,22149.17 ,490585642.80 ,16425.61 ,22149.30 ,490591437.30 ,10.33 ,9.59 ,91.89 ,1711.93 ,1928.44 ,3718875.13 ,3,0
17.95 ,29.01 ,841.67 ,1,20098.00 ,21994.59 ,483761772.70 ,20098.00 ,21994.59 ,483761772.70 ,11.41 ,8.61 ,74.11 ,1798.57 ,1680.95 ,2825575.25 ,3,0
7.12 ,7.57 ,57.26 ,1,23297.39 ,24975.24 ,623762821.20 ,20443.89 ,24660.15 ,608122982.20 ,10.15 ,9.61 ,92.25 ,1368.42 ,1451.47 ,2106774.79 ,3,0
28.95 ,41.31 ,1706.69 ,1,19902.13 ,23557.31 ,554946833.30 ,19877.31 ,23572.38 ,555657271.20 ,11.28 ,7.69 ,59.10 ,2189.28 ,1959.36 ,3839097.80 ,3,0
15.42 ,26.02 ,677.11 ,1,21728.95 ,23190.39 ,537794115.30 ,21728.95 ,23190.39 ,537794115.30 ,15.90 ,8.06 ,64.94 ,2302.84 ,1264.64 ,1599306.08 ,3,0
8.59 ,11.10 ,123.14 ,1,18589.31 ,22213.07 ,493420594.20 ,17475.10 ,22127.71 ,489635361.90 ,9.78 ,8.31 ,69.11 ,1558.81 ,1712.02 ,2931019.84 ,3,0
20.44 ,48.34 ,2336.31 ,1,33176.53 ,25397.38 ,645027102.20 ,33176.53 ,25397.38 ,645027102.20 ,5.96 ,1.39 ,1.94 ,520.56 ,173.41 ,30071.95 ,3,1
7.61 ,8.48 ,71.83 ,1,20997.62 ,23466.79 ,550690378.80 ,20979.95 ,23478.64 ,551246416.20 ,10.58 ,10.71 ,114.78 ,1559.23 ,1559.89 ,2433263.18 ,3,0
